objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,geometry,fixed_geometry,district_id
7655,vap7655,Zweirad,Beide,30,,,,,,0,öffentlicher Grund,POINT (2684197.8 1247824.2),POINT (47.37587421288398 8.553516070975631),7
7332,vap7332,Zweirad,Beide,26,,,,,,0,öffentlicher Grund,POINT (2683654.5 1246963.8),POINT (47.36820552109879 8.546162228212662),1
7343,vap7343,Zweirad,Beide,3,,,,,Höhe Nordheimstrasse,0,öffentlicher Grund,POINT (2682415.8 1250844.6),POINT (47.40326300607658 8.530479535511942),10
7342,vap7342,Zweirad,Beide,40,,,,,Anfang K.-Hirschfeld-Weg,0,öffentlicher Grund,POINT (2683086 1251675.8),POINT (47.4106540103761 8.539511745199352),11
7360,vap7360,Zweirad,Beide,20,,,,,,0,öffentlicher Grund,POINT (2681840.5 1246071.4),POINT (47.3604075585771 8.521985909108549),3
7363,vap7363,Zweirad,Beide,60,,,,,Silhlcity,0,öffentlicher Grund,POINT (2681848 1245877.1),POINT (47.35865920202884 8.522049669256702),3
7364,vap7364,Zweirad,Beide,5,,,,,,0,öffentlicher Grund,POINT (2686303.8 1245869.2),POINT (47.35801978788464 8.581021572754738),7
7661,vap7661,Zweirad,Beide,48,,,,,genau vor Haupteingang,0,öffentlicher Grund,POINT (2683280.8 1247993),POINT (47.37750883101869 8.5414067874175),1
7662,vap7662,Zweirad,Beide,64,,,,,,0,öffentlicher Grund,POINT (2683281 1248049.6),POINT (47.37801782982847 8.541419967502799),1
7663,vap7663,Zweirad,Beide,76,,,,,,0,öffentlicher Grund,POINT (2683272.8 1248044.4),POINT (47.37797210076117 8.541310431071494),1
7665,vap7665,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2682443.8 1247319.4),POINT (47.37155614680339 8.530200831956201),4
7666,vap7666,Zweirad,Beide,40,,,,,,0,öffentlicher Grund,POINT (2682489 1247463),POINT (47.37284194124808 8.530825674593601),4
104334,vap104334,Zweirad,Beide,84,,,,,,0,öffentlicher Grund,POINT (2682515.8 1248020.6),POINT (47.37785329540551 8.531283270052663),4
146,vap146,Zweirad,Beide,4,,,,,,0,öffentlicher Grund,POINT (2682976.5 1247746.9),POINT (47.37533395445236 8.537332233192714),1
2053,vap2053,Zweirad,Beide,4,,,,,,0,öffentlicher Grund,POINT (2682964.8 1247770.5),POINT (47.37554767126592 8.537181705992912),1
145,vap145,Zweirad,Beide,8,,,,,,0,öffentlicher Grund,POINT (2682969 1247761.9),POINT (47.3754697994376 8.537235717772131),1
7041,vap7041,Zweirad,Beide,10,,,,,,0,öffentlicher Grund,POINT (2680323.5 1247560),POINT (47.3739818225845 8.502174207932404),9
